PointID,X,Y,Z
97,0.00433013,0.0025,0.0025
98,0.00433013,0.0025,0.003125
99,0.00433013,0.0025,0.00375
100,0.00433013,0.0025,0.004375
101,0.00433013,0.0025,0.005
102,0.00433013,0.0025,0.005625
103,0.00433013,0.0025,0.00625
104,0.00433013,0.0025,0.006875
105,0.00433013,0.0025,0.0075
106,0.00433013,0.0025,0.008125
107,0.00433013,0.0025,0.00875
108,0.00433013,0.0025,0.009375
109,0.00433013,0.0025,0.01
110,0.00433013,0.0025,0.010625
111,0.00433013,0.0025,0.01125
112,0.00433013,0.0025,0.011875
113,0.00433013,0.0025,0.0125
114,0.00433013,0.0025,0.013125
115,0.00353553,0.00353553,0.000625
116,0.00353553,0.00353553,0.00125
117,0.00353553,0.00353553,0.001875
118,0.00353553,0.00353553,0.0025
119,0.00353553,0.00353553,0.003125
120,0.00353553,0.00353553,0.00375
121,0.00353553,0.00353553,0.004375
122,0.00353553,0.00353553,0.005
123,0.00353553,0.00353553,0.005625
124,0.00353553,0.00353553,0.00625
125,0.00353553,0.00353553,0.006875
126,0.00353553,0.00353553,0.0075
127,0.00353553,0.00353553,0.008125
128,0.00353553,0.00353553,0.00875
129,0.00353553,0.00353553,0.009375
130,0.00353553,0.00353553,0.01
131,0.00353553,0.00353553,0.010625
132,0.00353553,0.00353553,0.01125
133,0.00353553,0.00353553,0.011875
134,0.00353553,0.00353553,0.0125
135,0.00353553,0.00353553,0.013125
136,0.0025,0.00433013,0.000625
137,0.0025,0.00433013,0.00125
138,0.0025,0.00433013,0.001875
139,0.0025,0.00433013,0.0025
140,0.0025,0.00433013,0.003125
141,0.0025,0.00433013,0.00375
142,0.0025,0.00433013,0.004375
143,0.0025,0.00433013,0.005
144,0.0025,0.00433013,0.005625
145,0.0025,0.00433013,0.00625
146,0.0025,0.00433013,0.006875
147,0.0025,0.00433013,0.0075
148,0.0025,0.00433013,0.008125
149,0.0025,0.00433013,0.00875
150,0.0025,0.00433013,0.009375
151,0.0025,0.00433013,0.01
152,0.0025,0.00433013,0.010625
153,0.0025,0.00433013,0.01125
154,0.0025,0.00433013,0.011875
155,0.0025,0.00433013,0.0125
156,0.0025,0.00433013,0.013125
157,0.0012941,0.00482963,0.000625
158,0.0012941,0.00482963,0.00125
159,0.0012941,0.00482963,0.001875
160,0.0012941,0.00482963,0.0025
161,0.0012941,0.00482963,0.003125
162,0.0012941,0.00482963,0.00375
163,0.0012941,0.00482963,0.004375
164,0.0012941,0.00482963,0.005
165,0.0012941,0.00482963,0.005625
166,0.0012941,0.00482963,0.00625
167,0.0012941,0.00482963,0.006875
168,0.0012941,0.00482963,0.0075
169,0.0012941,0.00482963,0.008125
170,0.0012941,0.00482963,0.00875
171,0.0012941,0.00482963,0.009375
172,0.0012941,0.00482963,0.01
173,0.0012941,0.00482963,0.010625
174,0.0012941,0.00482963,0.01125
175,0.0012941,0.00482963,0.011875
176,-0.0012941,0.00482963,0.000625
177,-0.0012941,0.00482963,0.00125
178,-0.0012941,0.00482963,0.001875
179,-0.0012941,0.00482963,0.0025
180,-0.0012941,0.00482963,0.003125
181,-0.0012941,0.00482963,0.00375
182,-0.0012941,0.00482963,0.004375
183,-0.0012941,0.00482963,0.005
184,-0.0012941,0.00482963,0.005625
185,-0.0012941,0.00482963,0.00625
186,-0.0012941,0.00482963,0.006875
187,-0.0012941,0.00482963,0.0075
188,-0.0012941,0.00482963,0.008125
189,-0.0012941,0.00482963,0.00875
190,-0.0012941,0.00482963,0.009375
191,-0.0012941,0.00482963,0.01
192,-0.0012941,0.00482963,0.010625
