# DM Label Debug: Face Sets
# ID, Type, Label Values
1158, cell, -1
1159, cell, -1
1160, cell, -1
1161, cell, -1
1162, cell, -1
1163, cell, -1
1164, cell, -1
1165, cell, -1
1166, cell, -1
1167, cell, -1
1168, cell, -1
1169, cell, -1
1170, cell, -1
1171, cell, -1
1172, cell, -1
1173, cell, -1
1174, cell, -1
1175, cell, -1
1176, cell, -1
1177, cell, -1
1178, cell, -1
1179, cell, -1
1180, cell, -1
1181, cell, -1
1182, cell, -1
1183, cell, -1
1184, cell, -1
1185, cell, -1
1186, cell, -1
1187, cell, -1
1188, cell, -1
1189, cell, -1
1190, cell, -1
1191, cell, -1
1192, cell, -1
1193, cell, -1
1194, cell, -1
1195, cell, -1
1196, cell, -1
1197, cell, -1
1198, cell, -1
1199, cell, -1
1200, cell, -1
1201, cell, -1
1202, cell, -1
1203, cell, -1
1204, cell, -1
1205, cell, -1
1206, cell, -1
1207, cell, -1
1208, cell, -1
1209, cell, -1
1210, cell, -1
1211, cell, -1
1212, cell, -1
1213, cell, -1
1214, cell, -1
1215, cell, -1
1216, cell, -1
1217, cell, -1
1218, cell, -1
1219, cell, -1
1220, cell, -1
1221, cell, -1
1222, cell, -1
1223, cell, -1
1224, cell, -1
1225, cell, -1
1226, cell, -1
1227, cell, -1
1228, cell, -1
1229, cell, -1
1230, cell, -1
1231, cell, -1
1232, cell, -1
1233, cell, -1
1234, cell, -1
1235, cell, -1
1236, cell, -1
1237, cell, -1
1238, cell, -1
1239, cell, -1
1240, cell, -1
1241, cell, -1
1242, cell, -1
1243, cell, -1
1244, cell, -1
1245, cell, -1
1246, cell, -1
1247, cell, -1
1248, cell, -1
1249, cell, -1
1250, cell, -1
1251, cell, -1
1252, cell, -1
1253, cell, -1
1254, cell, -1
1255, cell, -1
1256, cell, -1
1257, cell, -1
1258, cell, -1
1259, cell, -1
1260, cell, -1
1261, cell, -1
1262, cell, -1
1263, cell, -1
1264, cell, -1
1265, cell, -1
1266, cell, -1
1267, cell, -1
1268, cell, -1
1269, cell, -1
1270, cell, -1
1271, cell, -1
1272, cell, -1
1273, cell, -1
1274, cell, -1
1275, cell, -1
1276, cell, -1
1277, cell, -1
1278, cell, -1
1279, cell, -1
1280, cell, -1
1281, cell, -1
1282, cell, -1
1283, cell, -1
1284, cell, -1
1285, cell, -1
1286, cell, -1
1287, cell, -1
1288, cell, -1
1289, cell, -1
1290, cell, -1
1291, cell, -1
1292, cell, -1
1293, cell, -1
1294, cell, -1
1295, cell, -1
1296, cell, -1
1297, cell, -1
1298, cell, -1
1299, cell, -1
1300, cell, -1
1301, cell, -1
1302, cell, -1
1303, cell, -1
1304, cell, -1
1305, cell, -1
1306, cell, -1
1307, cell, -1
1308, cell, -1
1309, cell, -1
1310, cell, -1
1311, cell, -1
1312, cell, -1
1313, cell, -1
1314, cell, -1
1315, cell, -1
1316, cell, -1
1317, cell, -1
1318, cell, -1
1319, cell, -1
1320, cell, -1
1321, cell, -1
1322, cell, -1
1323, cell, -1
1324, cell, -1
1325, cell, -1
1326, cell, -1
1327, cell, -1
1328, cell, -1
1329, cell, -1
1330, cell, -1
1331, cell, -1
1332, cell, -1
1333, cell, -1
1334, cell, -1
1335, cell, -1
1336, cell, -1
1337, cell, -1
1338, cell, -1
1339, cell, -1
1340, cell, -1
1341, cell, -1
1342, cell, -1
1343, cell, -1
1344, cell, -1
1345, cell, -1
1346, cell, -1
1347, cell, -1
1348, cell, -1
1349, cell, -1
1350, cell, -1
1351, cell, -1
1352, cell, -1
1353, cell, -1
1354, cell, -1
1355, cell, -1
1356, cell, -1
1357, cell, -1
1358, cell, -1
1359, cell, -1
1360, cell, -1
1361, cell, -1
1362, cell, -1
1363, cell, -1
1364, cell, -1
1365, cell, -1
1366, cell, -1
1367, cell, -1
1368, cell, -1
1369, cell, -1
1370, cell, -1
1371, cell, -1
1372, cell, -1
1373, cell, -1
1374, cell, -1
1375, cell, -1
1376, cell, -1
1377, cell, -1
1378, cell, -1
1379, cell, -1
1380, cell, -1
1381, cell, -1
1382, cell, -1
1383, cell, -1
1384, cell, -1
1385, cell, -1
1386, cell, -1
1387, cell, -1
1388, cell, -1
1389, cell, -1
1390, cell, -1
1391, cell, -1
1392, cell, -1
1393, cell, -1
1394, cell, -1
1395, cell, -1
1396, cell, -1
1397, cell, -1
1398, cell, -1
1399, cell, -1
1400, cell, -1
1401, cell, -1
1402, cell, -1
1403, cell, -1
1404, cell, -1
1405, cell, -1
1406, cell, -1
1407, cell, -1
1408, cell, -1
1409, cell, -1
1410, cell, -1
1411, cell, -1
1412, cell, -1
1413, cell, -1
1414, cell, -1
1415, cell, -1
1416, cell, -1
1417, cell, -1
1418, cell, -1
1419, cell, -1
1420, cell, -1
1421, cell, -1
1422, cell, -1
1423, cell, -1
1424, cell, -1
1425, cell, -1
1426, cell, -1
1427, cell, -1
1428, cell, -1
1429, cell, -1
1430, cell, -1
1431, cell, -1
1432, cell, -1
1433, cell, -1
1434, cell, -1
1435, cell, -1
1436, cell, -1
1437, cell, -1
1438, cell, -1
1439, cell, -1
1440, cell, -1
1441, cell, -1
1442, cell, -1
1443, cell, -1
1444, cell, -1
1445, cell, -1
1446, cell, -1
1447, cell, -1
1448, cell, -1
1449, cell, -1
1450, cell, -1
1451, cell, -1
1452, cell, -1
1453, cell, -1
1454, cell, -1
1455, cell, -1
1456, cell, -1
1457, cell, -1
1458, cell, -1
1459, cell, -1
1460, cell, -1
1461, cell, -1
1462, cell, -1
1463, cell, -1
1464, cell, -1
1465, cell, -1
1466, cell, -1
1467, cell, -1
1468, cell, -1
1469, cell, -1
1470, cell, -1
1471, cell, -1
1472, cell, -1
1473, cell, -1
1474, cell, -1
1475, cell, -1
1476, cell, -1
1477, cell, -1
1478, cell, -1
1479, cell, -1
1480, cell, -1
1481, cell, -1
1482, cell, -1
1483, cell, -1
1484, cell, -1
1485, cell, -1
1486, cell, -1
1487, cell, -1
1488, cell, -1
1489, cell, -1
1490, cell, -1
1491, cell, -1
1492, cell, -1
1493, cell, -1
1494, cell, -1
1495, cell, -1
1496, cell, -1
1497, cell, -1
1498, cell, -1
1499, cell, -1
1500, cell, -1
1501, cell, -1
1502, cell, -1
1503, cell, -1
1504, cell, -1
1505, cell, -1
1506, cell, -1
1507, cell, -1
1508, cell, -1
1509, cell, -1
1510, cell, -1
1511, cell, -1
1512, cell, -1
1513, cell, -1
1514, cell, -1
1515, cell, -1
1516, cell, -1
1517, cell, -1
1518, cell, -1
1519, cell, -1
1520, cell, -1
1521, cell, -1
1522, cell, -1
1523, cell, -1
1524, cell, -1
1525, cell, -1
1526, cell, -1
1527, cell, -1
1528, cell, -1
1529, cell, -1
1530, cell, -1
1531, cell, -1
1532, cell, -1
1533, cell, -1
1534, cell, -1
1535, cell, -1
1536, cell, -1
1537, cell, -1
1538, cell, -1
1539, cell, -1
1540, cell, -1
1541, cell, -1
1542, cell, -1
1543, cell, -1
1544, cell, -1
1545, cell, -1
1546, cell, -1
1547, cell, -1
1548, cell, -1
1549, cell, -1
1550, cell, -1
1551, cell, -1
1552, cell, -1
1553, cell, -1
1554, cell, -1
1555, cell, -1
1556, cell, -1
1557, cell, -1
1558, cell, -1
1559, cell, -1
1560, cell, -1
1561, cell, -1
1562, cell, -1
1563, cell, -1
1564, cell, -1
1565, cell, -1
1566, cell, -1
1567, cell, -1
1568, cell, -1
1569, cell, -1
1570, cell, -1
1571, cell, -1
1572, cell, -1
1573, cell, -1
1574, cell, -1
1575, cell, -1
1576, cell, -1
1577, cell, -1
1578, cell, -1
1579, cell, -1
1580, cell, -1
1581, cell, -1
1582, cell, -1
1583, cell, -1
1584, cell, -1
1585, cell, -1
1586, cell, -1
1587, cell, -1
1588, cell, -1
1589, cell, -1
1590, cell, -1
1591, cell, -1
1592, cell, -1
1593, cell, -1
1594, cell, -1
1595, cell, -1
1596, cell, -1
1597, cell, -1
1598, cell, -1
1599, cell, -1
1600, cell, -1
1601, cell, -1
1602, cell, -1
1603, cell, -1
1604, cell, -1
1605, cell, -1
1606, cell, -1
1607, cell, -1
1608, cell, -1
1609, cell, -1
1610, cell, -1
1611, cell, -1
1612, cell, -1
1613, cell, -1
1614, cell, -1
1615, cell, -1
1616, cell, -1
1617, cell, -1
1618, cell, -1
1619, cell, -1
1620, cell, -1
1621, cell, -1
1622, cell, -1
1623, cell, -1
1624, cell, -1
1625, cell, -1
1626, cell, -1
1627, cell, -1
1628, cell, -1
1629, cell, -1
1630, cell, -1
1631, cell, -1
1632, cell, -1
1633, cell, -1
1634, cell, -1
1635, cell, -1
1636, cell, -1
1637, cell, -1
1638, cell, -1
1639, cell, -1
1640, cell, -1
1641, cell, -1
1642, cell, -1
1643, cell, -1
1644, cell, -1
1645, cell, -1
1646, cell, -1
1647, cell, -1
1648, cell, -1
1649, cell, -1
1650, cell, -1
1651, cell, -1
1652, cell, -1
1653, cell, -1
1654, cell, -1
1655, cell, -1
1656, cell, -1
